eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,capex_int_%,profits_losses_eur_million,profits_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%,
387,Vectura,UK,Pharmaceuticals & biotechnology,39.2,-13.0,39.4,-23.1,99.4,5.0,223.1,12.7,-16.6,4.5,-42.1,0,-18.4,
388,De Longhi,Italy,Household goods & home construction,38.8,3.0,1406.2,-12.1,2.8,36.8,10.9,2.6,194.6,7.2,13.8,7,4.0,
389,Fortum,Finland,Electricity,38.0,26.7,6161.0,-2.1,0.6,1285.0,6.8,20.9,2347.0,33.0,38.1,11,-3.4,
390,Munich Re,Germany,Nonlife insurance,38.0,-51.3,47996.0,-7.0,0.1,,,,-5611.0,-279.7,-11.7,47,0.6,
391,Grammer,Germany,Automobiles & parts,38.0,15.1,1093.5,17.6,3.5,33.8,-2.1,3.1,48.3,48.6,4.4,8,8.8,
392,Jungheinrich,Germany,Industrial engineering,37.6,3.6,2116.3,16.5,1.8,57.1,-70.7,2.7,146.0,50.4,6.9,11,6.3,
393,Sudzucker,Germany,Food producers,37.6,6.5,6991.9,13.5,0.5,276.1,17.7,3.9,762.1,48.0,10.9,17,-1.0,
394,EnBW Energie Baden-Wurttemberg,Germany,Electricity,37.5,10.9,18789.7,7.3,0.2,1171.6,-27.9,6.2,46.4,-97.9,0.2,20,-3.1,
395,Egis,Hungary,Pharmaceuticals & biotechnology,36.8,6.9,408.9,8.4,9.0,,,,44.6,-8.7,10.9,1,-51.6,
396,Bavarian Nordic,Denmark,Pharmaceuticals & biotechnology,36.6,31.4,70.4,66.7,52.0,4.2,-31.7,6.0,-41.5,-35.0,-58.9,0,9.2,
397,Kemira,Finland,Chemicals,36.5,-6.9,2207.2,-2.7,1.7,98.3,55.5,4.5,147.6,-4.9,6.7,5,-10.7,
398,Agennix,Germany,Pharmaceuticals & biotechnology,36.5,24.3,,,,0.7,29.2,,-42.6,17.4,,0,16.1,
399,RBC Dexia Investor Services,UK,Other financials,36.4,37.6,856.7,10.1,4.2,,,,155.3,33.6,18.1,6,3.2,
400,Renesola,UK,Electronic & electrical equipment,36.4,29.8,761.5,-18.3,4.8,102.7,-8.1,13.5,18.9,-90.4,2.5,8,-3.5,
401,LKAB,Sweden,Mining,36.2,55.3,3492.1,9.1,1.0,,,,1649.9,19.8,47.2,4,4.0,
402,Active Biotech,Sweden,Pharmaceuticals & biotechnology,35.7,207.3,26.3,1965.8,135.8,0.1,479.1,0.2,-11.3,-55.9,-43.0,0,,
403,Wolfson Microelectronics,UK,Technology hardware & equipment,35.6,6.8,121.3,-0.3,29.4,1.8,-27.0,1.5,-18.5,111.9,-15.3,0,-3.3,
404,Fidessa,UK,Software & computer services,35.4,12.6,332.5,6.1,10.6,17.4,110.9,5.2,50.1,10.6,15.1,2,10.1,
405,AVEVA,UK,Software & computer services,35.2,5.0,234.1,12.6,15.0,3.1,24.6,1.3,68.8,17.2,29.4,1,16.7,
406,Avg Technologies,The Netherlands,Software & computer services,35.0,49.8,272.4,25.4,12.9,11.4,-2.7,4.2,68.5,1.8,25.2,1,38.1,
407,Delhaize,Belgium,Food & drug retailers,35.0,-18.6,21119.0,1.3,0.2,675.0,11.2,3.2,822.0,-19.6,3.9,0,,
408,Bank Of Ireland,UK,Banks,35.0,,2126.0,-33.4,1.6,,,,-224.0,-76.4,-10.5,14,-4.3,
409,Wall Street Systems,Sweden,Software & computer services,35.0,203.9,77.2,5.5,45.3,,,,16.5,-4.7,21.4,0,0.0,
410,ELMOS Semiconductor,Germany,Technology hardware & equipment,34.9,16.7,194.3,5.2,18.0,16.0,63.0,8.3,26.3,16.3,13.5,1,-0.2,
411,Tate & Lyle,UK,Food producers,34.7,16.0,3689.9,-6.7,0.9,121.9,52.2,3.3,402.7,15.4,10.9,4,-16.9,
412,Sensata Technologies Holding,The Netherlands,Electronic & electrical equipment,34.5,317.5,1412.0,18.6,2.4,85.4,65.2,6.0,248.3,29.8,17.6,11,8.6,
413,Wilo,Germany,Industrial engineering,34.4,1.6,1070.5,4.8,3.2,,,,97.6,-12.4,9.1,7,7.0,
414,Genus,UK,Pharmaceuticals & biotechnology,34.3,36.7,,,,,,,,,,0,,
415,Avio,Italy,Aerospace & defence,34.2,-15.7,,,,,,,,,,0,,
416,EGO Blanc Und Fischer,Germany,Support services,34.2,8.6,864.5,8.9,4.0,,,,43.5,153.5,5.0,8,-1.8,
417,Edenred,France,Support services,34.0,88.9,1032.0,16.6,3.3,,,,349.0,134.2,33.8,6,-6.3,
418,Grohe Holding,Germany,Support services,33.9,27.6,979.7,18.7,3.5,,,,44.6,-2.2,4.6,5,10.5,
419,Ineos,UK,Chemicals,33.9,5.2,25388.4,2.5,0.1,,,,1149.5,2.3,4.5,12,0.0,
420,Q-Cells,Germany,Alternative energy,33.8,24.3,1023.1,-24.4,3.3,59.5,-47.9,5.8,-720.6,-754.5,-70.4,2,-3.2,
421,Svenska Handelsbanken,Sweden,Banks,33.8,207.7,3680.4,0.7,0.9,,,,1855.5,11.7,50.4,11,3.1,
422,Ion Beam Applications,Belgium,Health care equipment & services,33.5,7.8,237.7,-38.7,14.1,25.4,59.8,10.7,-4.6,-143.3,-1.9,2,7.0,
423,Parrot,France,Technology hardware & equipment,33.4,16.2,247.7,2.5,13.5,,,,33.5,5.9,13.5,1,33.9,
424,Paul Hartmann,Germany,Health care equipment & services,33.1,-7.5,1699.4,4.1,1.9,56.0,-0.7,3.3,119.0,15.7,7.0,10,1.4,
425,IMA Industria Macchine Automatiche,Italy,Industrial engineering,33.0,9.8,669.2,33.0,4.9,8.6,-0.1,1.3,68.0,61.9,10.2,3,10.9,
426,Benetton,Italy,Personal goods,33.0,3.1,2021.0,-1.1,1.6,,,,182.8,3.0,9.0,10,0.9,
427,Austria Technologie & Systemtechnik,Austria,Electronic & electrical equipment,32.9,16.2,514.2,5.4,6.4,113.2,-1.8,22.0,42.0,-18.2,8.2,7,6.2,
428,Hybrid Air Vehicles,UK,Support services,32.8,210.4,35.4,,92.6,,,,0.8,,2.4,0,,
429,Roth & Rau,Germany,Alternative energy,32.8,212.6,208.5,-26.9,15.7,13.2,-30.4,6.4,-106.0,294.4,-50.9,1,11.5,
430,Pharmathen,Greece,Pharmaceuticals & biotechnology,32.5,1.1,108.5,9.9,30.0,,,,17.0,9.8,15.6,0,0.0,
431,Ablynx,Belgium,Pharmaceuticals & biotechnology,32.0,12.8,21.9,-30.4,146.5,3.7,41.8,16.8,-45.5,76.0,-208.2,0,11.5,
432,CEGID,France,Software & computer services,32.0,10.8,263.8,5.7,12.1,3.3,46.1,1.3,28.2,-3.2,10.7,2,7.7,
433,Edwards Group,UK,Industrial engineering,31.9,23.1,836.0,11.1,3.8,,,,122.2,37.3,14.6,3,15.3,
434,BE Semiconductor Industries,The Netherlands,Electronic & electrical equipment,31.7,30.9,326.9,-6.9,9.7,7.4,5.8,2.3,34.7,-30.5,10.6,2,2.2,
435,Miba,Austria,Automobiles & parts,31.3,38.5,592.6,35.6,5.3,47.3,38.0,8.0,67.0,31.4,11.3,4,28.2,
436,Jenoptik,Germany,Industrial engineering,31.2,19.1,543.3,6.4,5.7,22.9,72.9,4.2,48.5,156.9,8.9,3,-5.1,
437,Homag,Germany,Industrial engineering,31.1,57.1,798.7,11.3,3.9,,,,21.7,-28.5,2.7,5,2.6,
438,Oxford Instruments,UK,Electronic & electrical equipment,30.8,97.0,403.0,59.5,7.6,6.7,55.5,1.7,41.8,243.2,10.4,2,36.8,
439,Cez,Czech Republic,Electricity,30.8,12.0,8130.2,5.5,0.4,2063.6,-15.5,25.4,2245.4,-14.9,27.6,31,-3.7,
440,Leonhard Kurz Stiftung,Germany,General industrials,30.5,0.5,521.5,17.4,5.9,,,,69.6,24.6,13.4,4,3.6,
441,Kapsch TrafficCom,Austria,Support services,30.2,-19.0,549.9,41.5,5.5,10.6,67.4,1.9,42.3,-13.8,7.7,3,24.8,
442,Saft,France,Electronic & electrical equipment,30.1,40.7,628.7,6.4,4.8,59.6,-14.4,9.5,79.9,1.5,12.7,4,2.5,
443,Intercell,Austria,Pharmaceuticals & biotechnology,30.1,-62.4,32.9,-3.9,91.4,1.4,-63.5,4.3,-30.5,-88.0,-92.6,0,-15.9,
444,Ipsos,France,Media,29.7,7.2,1362.9,19.5,2.2,,,,157.9,33.9,11.6,6,-34.1,
445,Melexis,Belgium,Technology hardware & equipment,29.7,19.0,230.7,5.1,12.9,14.6,-1.7,6.3,54.4,-0.9,23.6,1,5.7,
446,Glen Electric,UK,Household goods & home construction,29.6,19.7,1002.4,2.2,3.0,,,,95.8,10.2,9.6,5,1.2,
447,Aeroports De Paris,France,Industrial transportation,29.5,3.3,2501.5,0.9,1.2,,,,698.7,15.4,27.9,9,-4.8,
448,Anglo American,UK,Mining,29.4,31.0,23634.0,9.4,0.1,4794.0,7.2,20.3,8398.6,14.8,35.5,0,-99.9,
449,BG,UK,Oil & gas producers,29.4,100.0,16286.4,22.8,0.2,7960.4,22.7,48.9,6050.7,23.9,37.2,6,4.9,
450,Rautaruukki,Finland,Industrial metals & mining,29.0,7.4,2798.0,15.9,1.0,164.0,-7.3,5.9,22.0,-237.5,0.8,12,1.1,
451,Wacker Neuson,Germany,Industrial engineering,28.9,29.7,991.6,30.8,2.9,104.5,38.2,10.5,119.5,224.3,12.1,4,11.8,
452,Wittington Investments,UK,Food producers,28.9,8.7,13384.2,7.8,0.2,,,,1010.9,0.8,7.6,103,5.4,
453,Konecranes,Finland,Industrial engineering,28.9,37.0,1896.4,22.6,1.5,53.3,134.9,2.8,106.3,-6.6,5.6,12,19.6,
454,Industrial and Financial Systems,Sweden,Software & computer services,28.8,10.3,289.0,0.2,10.0,3.8,25.9,1.3,25.9,4.1,9.0,3,6.4,
455,Sopra,France,Software & computer services,28.8,-51.4,1050.3,8.9,2.7,,,,113.7,15.8,10.8,13,8.2,
456,Rockwool International,Denmark,Construction & materials,28.7,1.4,1849.3,17.2,1.5,134.4,-24.5,7.3,123.9,11.1,6.7,9,9.9,
457,Croda International,UK,Chemicals,28.6,13.8,1276.6,1.9,2.2,66.8,35.7,5.2,292.4,23.5,22.9,3,-3.4,
458,Micronic Mydata,Sweden,Technology hardware & equipment,28.2,1.8,134.4,-7.0,21.0,2.7,-17.8,2.0,-7.6,-193.2,-5.6,1,0.5,
459,Durr,Germany,Industrial engineering,28.1,12.2,1922.0,52.4,1.5,13.4,34.8,0.7,104.8,211.4,5.5,7,18.1,
460,GFK,Germany,Support services,28.0,16.4,1373.9,6.2,2.0,26.4,10.9,1.9,142.7,1.5,10.4,11,8.1,
461,Napp Pharmaceutical,UK,Pharmaceuticals & biotechnology,28.0,43.2,328.7,7.3,8.5,,,,59.7,27.8,18.2,1,-3.0,
462,Vaisala,Finland,Electronic & electrical equipment,28.0,-8.8,273.6,8.1,10.2,13.3,-40.4,4.9,16.3,35.8,6.0,1,-1.6,
463,Lufthansa,Germany,Travel & leisure,28.0,211.1,28734.0,5.2,0.1,2445.0,12.8,8.5,981.0,-12.7,3.4,120,2.6,
464,Datalogic,Italy,Electronic & electrical equipment,27.7,6.6,425.5,8.3,6.5,6.6,-5.6,1.6,36.4,3.9,8.6,2,20.2,
465,Fuchs Petrolub,Germany,Chemicals,27.5,9.6,1668.1,14.4,1.6,37.6,19.0,2.3,264.0,5.6,15.8,4,4.1,
466,MGI Coutier,France,Automobiles & parts,27.4,36.3,533.9,30.1,5.1,,,,32.5,14.9,6.1,8,94.5,
467,Valio,Finland,Food producers,27.3,0.0,1929.1,5.9,1.4,,,,75.1,28.8,3.9,5,2.9,
468,Lenzing,Austria,Chemicals,27.2,19.8,2140.0,21.2,1.3,242.9,-14.8,11.3,371.7,62.7,17.4,6,4.9,
469,SolarWorld,Germany,Alternative energy,27.2,59.3,1046.9,-19.8,2.6,181.4,-15.1,17.3,-235.3,-233.5,-22.5,3,26.2,
470,Halma,UK,Electronic & electrical equipment,27.1,-11.6,692.9,11.9,3.9,18.2,5.5,2.6,132.0,11.2,19.1,4,12.2,
471,NATS,UK,Industrial transportation,27.0,80.8,985.4,11.7,2.7,,,,286.3,51.6,29.1,5,-2.6,
472,Allied Irish Banks,Ireland,Banks,27.0,50.0,1427.0,68.7,1.9,,,,-5108.0,-56.0,-358.0,17,-30.0,
473,Bauer,Germany,Construction & materials,27.0,47.4,1219.6,7.8,2.2,102.3,12.7,8.4,78.4,-9.3,6.4,10,6.1,
474,Wendel,France,Other financials,26.9,12.6,5953.1,17.5,0.5,,,,569.6,1.5,9.6,5,-89.3,
475,Muhlbauer,Germany,Technology hardware & equipment,26.6,18.0,213.2,2.9,12.5,26.1,18.2,12.2,27.5,-26.4,12.9,3,24.8,
476,Austriamicrosystems,Austria,Technology hardware & equipment,26.5,13.0,275.7,31.7,9.6,17.7,42.8,6.4,43.1,120.7,15.6,1,6.6,
477,Axway Software,France,Software & computer services,26.5,-4.5,217.2,4.2,12.2,,,,31.0,15.3,14.3,2,5.7,
478,Hunter Douglas,The Netherlands,Construction & materials,26.3,9.7,1988.6,5.2,1.3,85.8,56.3,4.3,86.6,-25.3,4.4,16,-3.7,
479,888 Holdings,UK,Travel & leisure,26.3,52.0,255.9,26.3,10.3,3.5,-46.9,1.4,14.5,59.3,5.7,1,-0.9,
480,Stallergenes,France,Pharmaceuticals & biotechnology,25.6,-18.8,235.0,8.6,10.9,,,,64.9,19.9,27.6,1,5.4,
481,Teollisuuden Voima,Finland,Electricity,25.4,17.6,352.4,-2.8,7.2,,,,43.6,-72.4,12.4,1,1.9,
482,Chemring,UK,Aerospace & defence,25.3,59.4,890.6,24.8,2.8,58.3,19.3,6.5,128.8,-0.1,14.5,4,7.6,
483,Vacon,Finland,Electronic & electrical equipment,25.1,20.8,380.9,12.7,6.6,18.7,139.1,4.9,24.7,-12.8,6.5,1,13.0,
484,Q-Med,Sweden,Health care equipment & services,25.0,33.0,153.0,0.0,16.4,15.7,0.0,10.3,28.4,0.0,18.5,1,0.0,
485,Leuze,Germany,Support services,25.0,10.8,275.2,25.3,9.1,,,,15.0,54.9,5.5,2,5.1,
486,SSAB,Sweden,Industrial metals & mining,25.0,17.4,5009.0,11.9,0.5,349.1,54.7,7.0,281.9,135.6,5.6,9,4.2,
487,WestLB,Germany,Banks,25.0,-10.7,1260.0,-8.0,2.0,,,,37.0,-127.8,2.9,4,-10.9,
488,Sportingbet,UK,Travel & leisure,25.0,60.9,246.5,-89.3,10.1,4.9,-59.6,2.0,29.2,251.9,11.8,1,10.3,
489,Exact Holding,The Netherlands,Software & computer services,24.9,5.6,215.6,-5.5,11.5,1.5,-72.4,0.7,23.8,-43.0,11.0,2,-4.3,
490,Eppendorf,Germany,Health care equipment & services,24.8,3.7,477.8,-1.3,5.2,,,,91.0,5.9,19.1,3,0.4,
491,Wago Holding,Germany,Support services,24.7,3.2,492.6,33.5,5.0,,,,66.4,226.4,13.5,4,6.3,
492,Gas Turbine Efficiency,UK,Industrial engineering,24.7,237.1,4379.6,15095.4,0.6,56.0,3332.8,1.3,88.6,-967.4,2.0,28,18716.2,
493,Manz Automation,Germany,Industrial engineering,24.5,19.1,240.5,32.6,10.2,25.4,-53.9,10.6,3.1,294.1,1.3,2,21.5,
494,Bull,France,Technology hardware & equipment,24.4,205.0,1300.7,4.6,1.9,,,,2.1,-83.6,0.2,9,5.2,
495,Hikma Pharmaceuticals,UK,Pharmaceuticals & biotechnology,24.1,32.2,709.5,25.6,3.4,53.4,40.6,7.5,90.3,-13.4,12.7,6,14.3,
496,Outotec,Finland,Industrial engineering,24.1,7.6,1385.6,42.9,1.7,17.6,67.6,1.3,111.5,170.0,8.0,4,24.1,
497,DemCranes,Germany,Industrial engineering,24.1,56.3,1062.3,14.1,2.3,26.7,55.1,2.5,47.2,-5.0,4.4,6,7.1,
498,BIC,France,Household goods & home construction,24.0,9.6,1824.1,-0.4,1.3,76.2,34.5,4.2,337.6,13.1,18.5,9,-12.4,
499,Elektrobit,Finland,Electronic & electrical equipment,24.0,50.2,162.2,0.3,14.8,1.9,-55.4,1.2,-3.9,-79.1,-2.4,2,2.9,
500,Same Deutz-Fahr,Italy,Industrial engineering,23.8,19.3,1114.7,30.4,2.1,,,,61.9,374.5,5.6,2,7.0,
501,James Hardie Industries,Ireland,Construction & materials,23.5,8.6,956.4,6.0,2.5,27.7,-28.8,2.9,122.5,56.9,12.8,3,2.5,
502,Nolato,Sweden,Chemicals,23.5,10.0,334.0,-11.8,7.0,14.7,-5.8,4.4,21.3,-23.7,6.4,5,-27.3,
503,Polymetal International,UK,Personal goods,23.3,272.8,1025.1,43.3,2.3,356.8,14.3,34.8,356.1,35.2,34.7,8,16.5,
504,Indesit,Italy,Household goods & home construction,23.2,88.6,2825.3,-1.9,0.8,108.0,26.8,3.8,150.3,-15.6,5.3,16,0.3,
505,Veritas,Germany,Automobiles & parts,22.9,28.6,579.6,14.7,3.9,31.6,122.5,5.5,30.2,-23.2,5.2,3,13.6,
506,Loewe,Germany,Electronic & electrical equipment,22.9,-6.5,274.3,-10.7,8.3,16.7,56.3,6.1,-13.5,131.1,-4.9,1,-3.8,
507,Playtech,UK,Software & computer services,22.8,34.6,207.5,45.8,11.0,12.6,75.1,6.1,52.2,-22.9,25.1,2,74.7,
508,Enrichment Technology,UK,Industrial engineering,22.8,31.6,695.6,145.8,3.3,,,,32.1,-419.7,4.6,2,11.3,
509,Montupet,France,Automobiles & parts,22.6,-7.7,406.0,8.2,5.6,,,,23.8,45.9,5.9,3,8.3,
510,Symphogen,Denmark,Pharmaceuticals & biotechnology,22.6,34.6,1.2,-77.9,1849.0,,,,-27.1,69.2,-2213.6,0,2.4,
511,Ludwig Krohne,Germany,Support services,22.5,3.2,305.6,2.2,7.4,,,,25.6,60.3,8.4,3,3.5,
512,RHI,Austria,Industrial engineering,22.4,0.0,1758.6,15.5,1.3,86.6,65.6,4.9,152.8,14.2,8.7,8,9.2,
513,Norgine Europe,The Netherlands,Support services,22.2,54.6,250.0,-21.4,8.9,,,,-10.9,-114.0,-4.4,1,,
514,Mﾖlnlycke Health Care,Sweden,Food & drug retailers,22.2,20.6,861.3,6.3,2.6,,,,180.6,9.4,21.0,0,6.4,
515,Swedbank,Sweden,Banks,22.1,52.2,3674.6,8.9,0.6,,,,1730.6,56.8,47.1,16,-16.7,
516,Weir,UK,Industrial engineering,22.0,26.0,2738.7,40.2,0.8,114.0,105.6,4.2,493.6,41.7,18.0,12,21.2,
517,Obrascon Huarte Lain,Spain,Construction & materials,21.9,6.5,4869.8,-0.8,0.5,554.9,-52.0,11.4,966.9,27.5,19.9,23,4.6,
518,Wirecard,Germany,Support services,21.9,97.7,324.8,19.6,6.8,37.2,52.0,11.5,75.9,12.8,23.4,0,-0.4,
519,Diageo,UK,Beverages,21.5,38.5,12859.7,10.0,0.2,578.3,24.4,4.5,3758.0,21.3,29.2,26,9.3,
520,G4S,UK,Support services,21.5,260.0,8988.1,1.7,0.2,206.7,-3.4,2.3,395.5,-19.5,4.4,640,3.8,
521,GFI Informatique,France,Software & computer services,21.5,181.6,618.1,-8.0,3.5,3.7,-22.9,0.6,19.6,10.1,3.2,9,-3.5,
522,Aliaxis,Belgium,Construction & materials,21.4,18.3,,,,,,,,,,0,,
523,Chicago Bridge & Iron,The Netherlands,Construction & materials,21.3,47.8,3516.9,24.9,0.6,,,,243.0,3.7,6.9,18,44.4,
524,Karo Bio,Sweden,Pharmaceuticals & biotechnology,21.2,49.3,,,,0.5,260.7,,-25.9,42.8,,0,0.0,
525,ACTIA,France,Electronic & electrical equipment,21.1,11.5,300.4,21.7,7.0,,,,17.5,-4546.1,5.8,3,3.4,
526,Lindengruppen,Sweden,Support services,21.1,-12.6,658.1,-22.6,3.2,,,,17.1,-90.2,2.6,3,-12.6,
527,DiaSorin,Italy,Pharmaceuticals & biotechnology,21.0,8.7,440.0,8.8,4.8,26.7,14.1,6.1,163.3,10.4,37.1,2,-0.1,
528,Outokumpu,Finland,Industrial metals & mining,21.0,0.0,5009.0,18.4,0.4,198.0,37.5,4.0,-264.0,131.6,-5.3,8,-3.2,
529,Accor,France,Travel & leisure,21.0,-4.5,6100.0,-12.6,0.3,,,,347.0,57.0,5.7,63,-56.5,
530,DE Master Blenders 1753,The Netherlands,Beverages,21.0,16.7,2601.6,12.4,0.8,77.5,17.9,3.0,331.3,-4.4,12.7,8,-3.6,
531,Haldex,Sweden,Automobiles & parts,21.0,-25.2,567.4,-26.8,3.7,13.9,-24.4,2.5,33.2,12.5,5.9,3,-31.0,
532,Auriga Industries,Denmark,Chemicals,21.0,-15.2,769.8,2.1,2.7,15.6,7.1,2.0,42.3,51.1,5.5,2,0.8,
533,Bloor,UK,General industrials,20.9,27.1,782.8,3.8,2.7,,,,43.3,13.5,5.5,2,5.0,
534,Intercomponentware,Germany,Software & computer services,20.8,-27.4,11.6,212.3,178.4,,,,-35.1,-55.7,-301.1,0,-24.1,
535,Medivir,Sweden,Pharmaceuticals & biotechnology,20.7,23.3,78.4,1119.4,26.4,1.9,214.5,2.5,12.6,-181.8,16.0,0,117.9,
536,Rexam,UK,General industrials,20.3,-19.0,5656.7,-4.6,0.4,286.8,20.0,5.1,627.3,78.0,11.1,20,-6.9,
537,YIT,Finland,Construction & materials,20.1,14.9,4382.1,15.7,0.5,30.0,23.1,0.7,193.7,-11.8,4.4,26,7.9,
538,Santaris Pharma,Denmark,Pharmaceuticals & biotechnology,20.0,-19.2,8.3,-71.2,239.3,,,,-13.6,-1880.3,-163.1,0,-13.9,
539,Nutreco,The Netherlands,Food producers,19.9,0.5,4721.1,13.3,0.4,97.5,12.6,2.1,197.3,14.6,4.2,9,4.5,
540,Hollysys Automation Technologies,UK,Electronic & electrical equipment,19.7,26.9,248.6,22.4,7.9,6.4,-48.6,2.6,36.4,25.7,14.7,4,13.6,
541,K+S,Germany,Chemicals,19.7,11.3,5150.9,3.1,0.4,255.4,7.0,5.0,949.8,29.7,18.4,14,-4.4,
542,Otto,Germany,General retailers,19.6,71.9,11596.6,1.7,0.2,,,,212.3,-43.8,1.8,53,6.8,
543,Vossloh,Germany,Industrial engineering,19.5,-28.8,1197.2,-11.4,1.6,65.6,72.2,5.5,93.8,-38.0,7.8,5,0.4,
544,Vistaprint,The Netherlands,Support services,19.5,44.5,788.5,24.9,2.5,35.9,24.1,4.5,44.5,-38.2,5.6,4,34.6,
545,Flamel Technologies,France,Pharmaceuticals & biotechnology,19.4,38.4,25.2,-12.1,77.0,,,,-7.3,-47.0,-29.0,0,-7.2,
546,Arla Foods,Denmark,Food producers,19.4,31.2,7383.8,12.2,0.3,,,,224.0,-2.2,3.0,17,7.4,
547,SkyePharma,UK,Pharmaceuticals & biotechnology,19.4,-18.2,66.0,-5.0,29.3,2.9,-45.5,4.3,14.2,-18.5,21.6,0,-25.1,
548,Psion,UK,Technology hardware & equipment,19.4,87.0,210.3,0.9,9.2,2.7,-10.4,1.3,4.3,-32.0,2.0,1,0.1,
549,Thrombogenics,Belgium,Pharmaceuticals & biotechnology,19.3,7.3,2.5,-59.9,779.7,1.0,241.3,39.7,-24.8,69.0,-1000.5,0,31.6,
550,Promethean World,UK,Technology hardware & equipment,19.3,154.1,266.3,-5.3,7.2,5.1,-39.2,1.9,20.8,-17.6,7.8,1,-5.9,
551,Fives,France,Industrial engineering,19.2,6.9,,,,,,,,,,0,,
552,Ixetic Verwaltungs,Germany,Real Estate Investment & Services,19.2,-15.5,299.5,9.3,6.4,,,,14.0,61.0,4.7,1,4.7,
553,London Stock Exchange,UK,Other financials,19.1,-43.9,812.3,13.0,2.4,20.4,6.1,2.5,276.7,-16.2,34.1,2,27.9,
554,National Grid,UK,"Gas, water & multiutilities",19.1,0.0,16528.1,-3.6,0.1,3760.4,-4.4,22.8,5369.9,17.2,32.5,26,-7.3,
555,Schaltbau,Germany,Industrial engineering,19.0,7.8,318.4,13.5,6.0,8.6,7.3,2.7,27.5,16.2,8.6,2,8.0,
556,Auchan,France,General retailers,19.0,-17.4,13988.7,-67.1,0.1,,,,388.6,-69.6,2.8,51,-80.4,
557,Metsaliitto,Finland,Forestry & paper,19.0,-9.5,5346.0,-0.6,0.4,,,,29.0,-93.1,0.5,13,-0.9,
558,Euromonitor International,UK,Media,18.9,5.4,67.3,29.4,28.1,,,,16.4,80.5,24.4,0,,
559,LISI,France,Industrial engineering,18.9,2.7,925.1,19.1,2.0,,,,78.4,137.6,8.5,9,19.9,
560,Engineering Ingegneria Informatica,Italy,Software & computer services,18.7,14.0,758.1,2.7,2.5,7.3,-16.8,1.0,56.8,-22.0,7.5,6,-0.5,
561,Nykredit Realkredit,Denmark,Banks,18.7,26.7,1172.4,-23.7,1.6,,,,180.0,-55.0,15.4,4,2.8,
562,QinetiQ,UK,Aerospace & defence,18.5,-96.1,1756.0,-13.7,1.1,26.3,11.7,1.5,433.5,559.6,24.7,10,-9.2,
563,Thule,Sweden,Personal goods,18.5,3.1,627.2,-1.8,3.0,,,,75.9,-14.0,12.1,3,1.9,
564,EVS Broadcast Equipment,Belgium,Electronic & electrical equipment,18.5,14.1,106.9,-3.8,17.3,3.1,32.5,2.9,46.5,-16.1,43.5,0,18.4,
565,Bioinvent International,Sweden,Pharmaceuticals & biotechnology,18.4,24.3,14.0,50.4,131.5,0.6,6.2,3.9,-8.0,-43.9,-57.5,0,-7.3,
566,Carraro,Italy,Automobiles & parts,18.3,-10.9,924.2,28.8,2.0,23.6,69.6,2.6,40.4,188.4,4.4,4,10.4,
567,Terna,Italy,Electricity,18.3,-18.7,1591.3,3.8,1.2,,,,842.2,3.2,52.9,3,0.7,
568,Domino Printing Sciences,UK,Electronic & electrical equipment,18.3,-1.9,375.3,4.7,4.9,10.4,58.2,2.8,69.7,10.6,18.6,2,6.2,
569,Fimalac,France,Other financials,18.2,10.3,545.0,-10.5,3.3,,,,152.2,26.1,27.9,3,-15.8,
570,Iris Capital,UK,Support services,18.2,17.6,141.9,-0.2,12.8,,,,18.5,3.1,13.0,1,-3.0,
571,e2v Technologies,UK,Electronic & electrical equipment,18.1,24.7,280.3,2.6,6.5,17.2,64.6,6.1,41.3,17.3,14.7,2,2.6,
572,KMD,Denmark,Software & computer services,18.0,36.9,573.9,11.7,3.1,,,,59.4,182.6,10.3,3,-3.5,
573,Lansforsakringar,Sweden,Banks,18.0,24.7,540.2,-33.8,3.3,,,,31.8,-46.4,5.9,1,2.6,
574,Tarkett,France,Construction & materials,18.0,38.5,20.8,-98.8,86.4,,,,-9.6,-110.0,-46.0,0,-99.4,
575,Strabag,Austria,Construction & materials,17.9,649.3,13713.8,10.8,0.1,477.2,-13.8,3.5,309.4,13.0,2.3,77,4.4,
576,Ahlstrom,Finland,Chemicals,17.9,-11.8,1607.2,-15.2,1.1,60.0,20.2,3.7,15.8,-76.5,1.0,6,-2.7,
577,Orexo,Sweden,Pharmaceuticals & biotechnology,17.9,1.8,22.4,-5.2,79.8,0.5,37.8,2.4,-43.9,378.8,-196.1,0,4.8,
578,NIBE Industrier,Sweden,Industrial engineering,17.9,29.9,913.4,25.0,2.0,29.1,82.1,3.2,99.4,11.4,10.9,7,16.0,
579,N Brown,UK,General retailers,17.8,2.4,900.0,7.3,2.0,6.8,-8.8,0.8,525.8,339.1,58.4,3,0.4,
580,COR&FJA,Germany,Software & computer services,17.8,11.4,135.2,16.3,13.2,1.8,-30.2,1.3,2.1,-24.5,1.5,1,21.0,
581,CS Communication & Systemes,France,Software & computer services,17.7,-15.2,201.3,4.2,8.8,,,,8.3,-231.4,4.1,2,-10.8,
582,Megger,UK,Support services,17.7,-10.6,130.2,11.3,13.6,,,,15.5,3.5,11.9,1,1.5,
