country,rnd_1_year_growth_%,capex_1_year_growth_%,capex_eur_million,capex_int_%,company,employees,employees_1_year_growth_%,eu_rank,industrial_sector,profitability_%,profits_1_year_growth_%,profits_losses_eur_million,rnd_eur_million,rnd_intensity_%,sales_1_year_growth_%,sales_eur_million,year
germany,5.34,20.69,35.11,3.42,wmf,6053.0,0.93,636,household goods & home construction,6.75,7.55,69.34,15.72,1.53,4.89,1027.33,2012
uk,24.76,200.0,32.29,12.28,victrex,607.0,9.96,637,chemicals,42.77,0.21,112.42,15.67,5.96,1.85,262.88,2012
uk,-6.43,-14.83,59.08,2.81,premier foods,9787.0,-29.08,638,food producers,5.92,-158.56,124.38,15.67,0.75,-12.17,2100.41,2012
sweden,4.69,,,0.0,nordstjernan,33116.0,7.07,639,financial services,4.17,7.21,318.69,15.61,0.2,10.18,7646.79,2012
italy,-14.75,,1156.3,66.73,terna,3436.0,-1.63,640,electricity,56.35,15.93,976.4,15.6,0.9,8.89,1732.8,2012
uk,14.55,-42.28,1.6,590.71,ceres power,155.0,12.32,641,electronic & electrical equipment,-7993.79,8.57,-21.61,15.58,5762.38,-67.34,0.27,2012
ireland,45.02,367.24,4.53,1.02,jazz pharmaceuticals,610.0,41.53,642,pharmaceuticals & biotechnology,33.76,54.77,149.95,15.52,3.49,115.21,444.13,2012
germany,17.24,,,0.0,eos holding,433.0,17.98,643,industrial engineering,10.96,4.1,12.36,15.48,13.73,13.89,112.75,2012
uk,10.31,-19.42,1.47,1.4,sepura,311.0,16.92,644,technology hardware & equipment,7.93,54.26,8.31,15.47,14.76,26.24,104.77,2012
uk,-20.37,-62.5,1.08,1.8,skyepharma,85.0,-46.2,645,pharmaceuticals & biotechnology,3.61,-84.87,2.15,15.43,25.85,-9.6,59.68,2012
uk,89.71,15.66,513.32,23.43,severn trent,8221.0,2.11,646,"gas, water & multi-utilities",27.11,-1.53,593.81,15.43,0.7,3.45,2190.59,2012
the netherlands,25.44,-12.58,8.25,4.8,nedap,709.0,3.65,647,electronic & electrical equipment,9.53,11.83,16.38,15.4,8.96,12.82,171.87,2012
finland,-4.94,13.75,93.5,4.0,huhtamaki,14228.0,11.69,648,general industrials,6.86,33.19,160.1,15.4,0.66,14.26,2335.0,2012
sweden,11.69,-3.85,0.77,0.85,readsoft,564.0,17.01,649,software & computer services,8.63,-13.52,7.86,15.37,16.87,17.91,91.09,2012
luxembourg,11.11,1.9,122.03,3.06,aperam,,,650,industrial metals & mining,-1.98,-321.28,-78.82,15.16,0.38,-17.08,3987.42,2012
italy,25.0,-8.91,1002.0,7.49,saipem,42554.0,5.36,651,industrial engineering,10.93,2.74,1461.0,15.0,0.11,6.16,13369.0,2012
the netherlands,-6.25,-45.24,23.0,1.77,ballast nedam,3859.0,-1.78,652,construction & materials,-2.39,-263.16,-31.0,15.0,1.16,-6.22,1296.0,2012
germany,11.27,,,0.0,kraussmaffei technologies,1747.0,1.33,653,industrial engineering,5.19,-219.18,27.26,14.97,2.85,23.52,524.8,2012
uk,-9.72,,,0.0,arup,10135.0,2.02,654,construction & materials,2.89,16.44,34.28,14.93,1.26,2.63,1186.2,2012
belgium,0.53,61.46,38.31,2.9,recticel,8054.0,-7.48,655,general industrials,2.87,5.47,37.92,14.9,1.13,-4.25,1319.49,2012
sweden,-24.84,,,0.0,ibs,583.0,-21.43,656,software & computer services,-11.95,-35.5,-12.03,14.87,14.78,-17.45,100.62,2012
ireland,11.18,39.49,65.89,2.98,glanbia,3823.0,7.39,657,food producers,7.46,4.66,165.08,14.83,0.67,-17.2,2211.76,2012
uk,-29.6,,,0.0,enigma diagnostics,49.0,13.95,658,pharmaceuticals & biotechnology,-187.92,63.01,-10.41,14.83,267.5,-67.03,5.54,2012
poland,132.11,,,0.0,bank ochrony srodowiska,1979.0,-0.1,659,banks,8.8,-44.86,10.37,14.81,12.57,-4.63,117.84,2012
uk,-5.83,,,0.0,martin-baker,810.0,1.63,660,aerospace & defence,26.03,0.14,62.95,14.71,6.08,-0.72,241.82,2012
germany,8.76,,,0.0,ixetic verwaltungs,1275.0,4.68,661,industrial engineering,4.67,60.99,13.98,14.63,4.88,9.28,299.53,2012
uk,293.55,,,0.0,vocalink,776.0,3.6,662,software & computer services,21.47,6.36,41.98,14.59,7.46,6.58,195.55,2012
germany,-18.35,-50.88,0.86,0.63,cor&fja,1178.0,0.34,663,software & computer services,-14.08,-1030.4,-19.25,14.53,10.63,1.1,136.68,2012
italy,4.16,-7.97,5.59,3.92,saes getters,1012.0,0.1,664,electronic & electrical equipment,7.97,-11.4,11.35,14.46,10.15,-4.15,142.47,2012
france,23.34,-64.62,0.31,2827.27,carmat,40.0,14.29,665,health care equipment & services,-203090.91,39.43,-22.34,14.45,131363.64,-99.82,0.01,2012
france,-36.23,10.03,43.65,10.93,montupet,3113.0,-10.26,666,automobiles & parts,8.25,38.4,32.95,14.42,3.61,-1.6,399.54,2012
uk,40.97,,,0.0,quest diagnostics,370.0,-1.6,667,health care equipment & services,7.34,194.34,5.78,14.31,18.15,-0.59,78.82,2012
france,47.96,-15.07,3.13,0.47,gfi informatique,9011.0,4.85,668,software & computer services,3.49,19.16,23.31,14.27,2.14,7.97,667.33,2012
uk,3.75,-45.38,27.97,3.53,spirax-sarco engineering,4706.0,0.49,669,industrial engineering,19.0,-2.92,150.35,14.21,1.8,1.8,791.42,2012
germany,-3.29,-50.55,10.27,2.23,pfeiffer vacuum technology,2256.0,-1.53,670,industrial engineering,14.74,13.04,68.01,14.21,3.08,-11.2,461.33,2012
uk,55.83,-10.72,331.36,32.68,inmarsat,1616.0,4.73,671,mobile telecommunications,25.93,-25.99,262.92,14.17,1.4,-5.02,1013.95,2012
germany,-34.54,,,0.0,hoerbiger deutschland,3267.0,-1.42,672,support services,3.36,-58.93,17.67,14.08,2.68,-5.44,525.85,2012
germany,-32.33,,,0.0,intercomponentware,293.0,-36.17,673,health care equipment & services,-246.12,-40.89,-20.72,14.05,166.92,-27.68,8.42,2012
belgium,13.15,-36.81,8.75,6.66,punch,402.0,-6.29,674,electronic & electrical equipment,15.78,-13.11,20.72,14.03,10.68,0.42,131.34,2012
france,-26.32,,,0.0,auchan,50896.0,-1.0,675,general retailers,2.58,-6.6,363.0,14.0,0.1,0.71,14088.0,2012
france,56.06,-23.07,28.95,4.16,virbac,4085.0,16.41,676,pharmaceuticals & biotechnology,14.34,13.22,99.68,13.88,2.0,11.57,695.16,2012
france,-1.1,36.52,13.79,1.4,faiveley transport,5483.0,0.26,677,industrial engineering,11.31,16.44,111.69,13.88,1.4,9.68,987.71,2012
uk,,,,0.0,d-clear europe,433.0,,678,support services,1.11,,0.72,13.86,21.28,,65.15,2012
germany,2.23,-26.08,0.72,0.87,p&i personal & informatik,398.0,3.92,679,software & computer services,29.27,32.48,24.04,13.85,16.86,16.34,82.14,2012
germany,6.14,61.99,1.81,2.16,isra vision,514.0,15.25,680,industrial engineering,18.03,14.67,15.12,13.65,16.27,11.62,83.89,2012
ireland,11.56,18.85,34.24,2.1,kingspan,5754.0,-1.93,681,construction & materials,6.45,17.43,105.05,13.64,0.84,5.29,1628.72,2012
germany,-9.25,63.76,9.37,2.15,rational,1263.0,3.19,682,household goods & home construction,28.31,22.28,123.15,13.56,3.12,11.05,434.98,2012
uk,7.62,19.91,30.26,3.55,senior,6081.0,13.16,683,aerospace & defence,13.33,14.48,113.5,13.51,1.59,11.13,851.55,2012
the netherlands,44.19,,,0.0,global mobility,6041.0,1.21,684,financial services,-0.75,-31.0,-57.3,13.47,0.18,3.87,7684.17,2012
uk,6.38,146.89,1.8,3.19,delcam,597.0,8.35,685,software & computer services,10.85,77.23,6.12,13.46,23.88,12.45,56.39,2012
germany,8.02,3.02,26.4,3.55,villeroy & boch,7840.0,-7.21,686,construction & materials,3.86,13.69,28.7,13.3,1.79,0.09,743.6,2012
sweden,44.3,44.41,14.44,2.72,systemair,3649.0,16.69,687,industrial engineering,8.18,22.76,43.37,13.28,2.5,13.86,530.29,2012
sweden,171.43,19.95,308.32,2.05,skanska,56618.0,7.73,688,construction & materials,3.11,-52.24,468.19,13.28,0.09,8.94,15072.18,2012
luxembourg,29.85,5.38,537.14,11.26,subsea 7,,,689,industrial engineering,12.84,26.18,612.55,13.19,0.28,14.97,4772.32,2012
germany,85.46,-100.0,,0.0,magix,342.0,-0.29,690,software & computer services,9.88,-46.14,2.85,13.18,45.72,-20.16,28.82,2012
uk,35.43,,,0.0,norbrook laboratories,1533.0,7.65,691,pharmaceuticals & biotechnology,9.89,-5.69,21.38,13.17,6.09,12.29,216.07,2012
ireland,186.28,43.55,34.4,2.48,greencore group,9726.0,45.1,692,food producers,4.88,108.71,67.87,13.15,0.95,44.48,1389.67,2012
uk,83.49,7.53,121.27,4.55,debenhams,30117.0,-1.66,693,general retailers,7.19,-6.25,191.84,13.04,0.49,0.91,2666.84,2012
sweden,4.4,-31.9,1.62,1.02,beijer electronics,689.0,3.14,694,electronic & electrical equipment,7.52,-32.35,11.99,12.99,8.16,-3.57,159.31,2012
finland,7.61,-2.72,0.68,0.92,tecnotree,1070.0,16.05,695,technology hardware & equipment,-16.85,11.45,-12.37,12.97,17.67,17.89,73.43,2012
germany,-2.71,35.11,36.65,3.21,sto,4689.0,-0.13,696,construction & materials,8.45,-9.96,96.46,12.96,1.14,3.15,1141.69,2012
germany,25.08,,,0.0,carl mahr,1629.0,5.92,697,support services,10.2,6.28,21.84,12.95,6.05,9.64,214.17,2012
uk,-9.24,3.65,16.98,4.11,vitec,2085.0,1.61,698,industrial engineering,7.41,12.78,30.62,12.92,3.13,-1.62,412.98,2012
uk,6.93,4.56,30.14,3.1,mcbride,5112.0,-5.7,699,household goods & home construction,2.1,27.61,20.45,12.92,1.33,0.18,973.42,2012
uk,3.87,81.56,0.31,0.36,cohort,513.0,-2.66,700,support services,9.26,29.93,7.85,12.92,15.24,-6.02,84.76,2012
the netherlands,-3.01,,,0.0,cosun,3396.0,-18.39,701,food producers,9.92,40.57,193.0,12.9,0.66,9.76,1945.4,2012
denmark,-7.69,16.22,679.42,7.55,carlsberg,41708.0,-2.25,702,beverages,13.06,-6.76,1175.63,12.86,0.14,5.73,9000.19,2012
germany,-18.3,-28.11,0.2,1.25,wilex,128.0,3.23,703,pharmaceuticals & biotechnology,-61.47,-25.87,-9.92,12.78,79.17,63.43,16.14,2012
luxembourg,4.9,41.31,66.03,4.43,oriflame cosmetics,7465.0,-5.48,704,personal goods,11.76,10.73,175.12,12.71,0.85,-0.3,1489.29,2012
germany,44.51,,,0.0,schenck process,3254.0,11.32,705,construction & materials,8.6,21.41,58.07,12.7,1.88,18.99,675.32,2012
italy,23.7,-17.0,121.45,8.75,brembo,6824.0,1.32,706,automobiles & parts,6.44,21.93,89.43,12.66,0.91,10.69,1388.64,2012
france,102.55,-70.88,0.97,8.57,cellectis,205.0,49.64,707,pharmaceuticals & biotechnology,-173.59,0.47,-19.62,12.64,111.86,13.83,11.3,2012
sweden,-43.03,-95.68,0.02,0.55,karo bio,51.0,-25.0,708,pharmaceuticals & biotechnology,-299.83,-56.97,-11.59,12.57,325.13,,3.87,2012
germany,5.04,,,0.0,leica camera,1187.0,4.67,709,leisure goods,19.78,41.46,58.72,12.5,4.21,19.32,296.82,2012
belgium,24.0,7.23,114.2,5.36,tessenderlo,7005.0,-6.06,710,chemicals,1.54,-66.5,32.8,12.4,0.58,0.17,2129.6,2012
uk,2.35,,,0.0,iglo foods,2861.0,-2.72,711,food producers,17.03,5.33,259.76,12.4,0.81,-2.5,1525.5,2012
uk,-31.74,-37.94,10.7,4.47,e2v technologies,1525.0,0.33,712,electronic & electrical equipment,17.95,3.95,43.02,12.39,5.17,-14.6,239.63,2012
uk,-37.62,-59.08,2.21,0.64,rm,2305.0,-17.65,713,software & computer services,3.44,-151.54,11.88,12.27,3.55,-17.7,345.27,2012
ireland,61.03,9.4,2.02,3.23,trinity biotech,385.0,7.84,714,health care equipment & services,20.76,9.0,12.98,12.25,19.58,5.85,62.54,2012
austria,0.83,28.81,14.05,2.18,rosenbauer international,2328.0,11.28,715,industrial engineering,5.83,5.65,37.62,12.2,1.89,19.12,645.15,2012
uk,5.87,,,0.0,csg equityco,677.0,,716,software & computer services,-11.86,,-3.23,12.18,44.74,,27.23,2012
germany,-24.76,,,0.0,stabilus,1552.0,1.7,717,industrial engineering,19.01,16.67,50.73,12.17,4.56,1.98,266.84,2012
finland,-0.9,-1.77,5.61,4.85,glaston,820.0,-8.79,718,industrial engineering,-13.01,1208.61,-15.05,12.17,10.52,-3.4,115.64,2012
germany,3.85,,,0.0,fidelity information services kordoba,305.0,-0.65,719,software & computer services,4.26,-25.19,3.92,12.13,13.18,-2.21,92.05,2012
belgium,9.01,10.02,317.2,25.83,elia system operator,1177.0,51.09,720,electricity,25.5,0.35,313.1,12.1,0.99,3.35,1228.0,2012
uk,29.53,-32.96,3.02,2.02,blinkx,265.0,13.25,721,software & computer services,8.34,1290.57,12.51,12.07,8.04,73.04,150.04,2012
finland,1.1,47.31,50.38,3.75,atria,4898.0,-10.41,722,food producers,2.12,213.73,28.48,12.02,0.89,3.2,1343.58,2012
uk,0.0,-2.3,298.0,5.13,mondi,238.0,-2.86,723,forestry & paper,9.28,-5.77,539.0,12.0,0.21,1.18,5807.0,2012
germany,-68.42,,,0.0,munich re,,-100.0,724,nonlife insurance,-6.06,-45.79,-3042.0,12.0,0.02,4.8,50174.0,2012
france,-7.69,-20.55,58.0,1.51,sequana,11216.0,-0.82,725,forestry & paper,-1.27,-268.97,-49.0,12.0,0.31,-2.33,3852.0,2012
germany,100.0,,,0.0,aareal bank,2289.0,-2.72,726,banks,26.35,-4.86,176.0,12.0,1.8,-6.05,668.0,2012
germany,1.66,11.55,33.78,6.71,cewe color,3895.0,37.97,727,general retailers,5.65,-7.29,28.45,11.98,2.38,7.31,503.35,2012
uk,19.16,,,0.0,randox laboratories,809.0,5.2,728,pharmaceuticals & biotechnology,4.45,-12.09,3.8,11.89,13.91,17.35,85.51,2012
sweden,2.74,40.2,9.83,2.74,fagerhult,2192.0,-1.62,729,electronic & electrical equipment,8.15,-20.71,29.31,11.82,3.29,2.06,359.48,2012
spain,139.03,15.85,11.6,10.14,let's gowex,70.0,40.0,730,mobile telecommunications,19.08,129.59,21.82,11.72,10.25,71.42,114.34,2012
germany,-16.82,21.04,49.46,4.47,indus holding,6859.0,1.87,731,general industrials,9.41,-5.02,103.98,11.71,1.06,0.05,1105.27,2012
sweden,0.0,1.0,212.54,10.22,holmen,3945.0,-2.38,732,forestry & paper,6.47,-40.12,134.58,11.65,0.56,-4.31,2080.16,2012
sweden,-2.94,2.45,29.25,2.01,swedish match,3848.0,-0.82,733,tobacco,32.49,9.59,472.73,11.54,0.79,7.04,1454.9,2012
france,25.0,-3.03,6.55,4.55,linedata services,921.0,0.55,734,software & computer services,18.86,6.57,27.17,11.5,7.99,4.88,144.01,2012
uk,17.45,,,0.0,m sport,211.0,1.93,735,automobiles & parts,3.19,-75.74,1.67,11.49,21.91,-9.95,52.46,2012
france,1.29,33.45,3.79,1.91,lectra,1345.0,0.52,736,software & computer services,10.47,-31.94,20.78,11.45,5.77,-3.64,198.44,2012
uk,32.2,,,0.0,schrader electronics,936.0,9.47,737,automobiles & parts,9.04,79.87,18.37,11.41,5.62,15.45,203.09,2012
germany,39.02,23.41,2.95,1.75,elexis,897.0,4.55,738,industrial engineering,13.21,13.41,22.2,11.4,6.79,0.34,168.0,2012
portugal,-6.31,,,0.0,credito agricola,,,739,banks,1.44,-6.28,0.89,11.38,18.43,-21.21,61.76,2012
uk,54.58,,,0.0,visa,1609.0,12.44,740,financial services,22.76,0.13,243.37,11.37,1.06,3.58,1069.42,2012
germany,-3.77,,,0.0,nexus,490.0,10.61,741,software & computer services,8.67,28.04,5.4,11.37,18.24,16.45,62.34,2012
france,-7.03,160.18,0.29,4.89,genfit,76.0,-15.56,742,pharmaceuticals & biotechnology,-128.39,-0.12,-7.72,11.31,188.25,-11.34,6.01,2012
sweden,-37.82,,,0.0,perstorp,2232.0,2.81,743,chemicals,5.17,81.93,68.05,11.3,0.86,-22.42,1316.35,2012
france,-5.84,9.14,9.33,5.45,dynaction,921.0,-3.15,744,chemicals,6.23,172.83,10.65,11.25,6.58,4.0,171.13,2012
germany,18.78,6.81,3.98,3.35,mensch und maschine software,659.0,3.13,745,software & computer services,5.2,-48.07,6.18,11.23,9.45,-38.03,118.8,2012
italy,19.63,,,0.0,kedrion,1475.0,8.22,746,pharmaceuticals & biotechnology,15.95,46.04,60.28,11.21,2.97,36.31,378.03,2012
sweden,63.32,-35.78,0.26,0.79,net insight,155.0,9.15,747,technology hardware & equipment,0.97,-93.64,0.32,11.14,34.12,-4.83,32.66,2012
sweden,-12.58,-58.73,0.54,0.88,enea,417.0,-36.04,748,software & computer services,25.35,5248.33,15.64,11.14,18.05,-26.61,61.7,2012
uk,14.92,16.84,12.56,5.42,innovation,2637.0,7.72,749,software & computer services,5.63,4.04,13.04,11.13,4.81,10.16,231.7,2012
luxembourg,8.97,2.07,28.76,2.14,samsonite,7070.0,,750,household goods & home construction,13.15,13.73,176.57,11.07,0.82,13.2,1342.83,2012
germany,-60.71,-6.26,2292.0,7.61,lufthansa,116957.0,-2.58,751,travel & leisure,4.03,23.85,1215.0,11.0,0.04,4.88,30135.0,2012
belgium,4.35,-1.16,6.79,1.47,picanol,1899.0,-6.73,752,industrial engineering,15.65,-5.32,72.28,11.0,2.38,-1.11,461.75,2012
denmark,-11.94,-38.14,45.79,2.74,schouw,2879.0,7.11,753,general industrials,6.17,19.65,103.15,10.97,0.66,12.67,1671.15,2012
sweden,1.08,,,0.0,sodra,4061.0,4.94,754,forestry & paper,-5.53,-191.89,-108.25,10.95,0.56,-7.61,1958.39,2012
uk,-6.93,,,0.0,snell,439.0,-3.94,755,electronic & electrical equipment,2.77,45.92,2.37,10.87,12.72,3.02,85.47,2012
germany,-12.2,,,0.0,wurth,66050.0,1.51,756,general industrials,4.49,-2.39,448.4,10.8,0.11,2.95,9984.7,2012
finland,8.46,-5.43,13.35,1.99,tikkurila,3227.0,,757,chemicals,9.86,8.62,66.27,10.77,1.6,4.37,671.84,2012
sweden,-9.82,51.96,0.52,,oasmia pharmaceutical,72.0,-6.49,758,pharmaceuticals & biotechnology,,5.54,-8.06,10.72,,-100.0,,2012
uk,33.37,572.73,0.18,0.35,amino technologies,105.0,-11.02,759,software & computer services,6.97,-4946.66,3.48,10.65,21.36,-19.52,49.87,2012
uk,74.51,45.11,23.08,3.77,luxfer,1520.0,4.9,760,industrial engineering,13.17,65.6,80.61,10.64,1.74,61.24,611.87,2012
the netherlands,-52.66,,,0.0,norgine,1211.0,-2.26,761,pharmaceuticals & biotechnology,5.02,-215.18,12.54,10.52,4.21,-0.04,249.86,2012
germany,-5.41,-52.63,0.9,0.84,singulus technologies,400.0,-12.09,762,industrial engineering,-55.91,-880.52,-60.1,10.5,9.77,-31.75,107.5,2012
finland,-6.25,27.32,76.9,3.02,hkscan,7763.0,-6.32,763,food producers,1.51,-2.53,38.5,10.5,0.41,2.23,2546.8,2012
italy,13.03,53.47,16.86,3.2,interpump,2685.0,10.09,764,industrial engineering,15.71,9.29,82.81,10.49,1.99,6.86,527.18,2012
germany,-18.67,,,0.0,hc starck,1330.0,4.15,765,industrial metals & mining,6.26,-365.34,36.05,10.44,1.81,39.54,575.99,2012
germany,4.53,-56.93,0.37,0.94,rib software,465.0,23.34,766,software & computer services,30.51,80.14,11.96,10.42,26.58,11.71,39.21,2012
sweden,15.34,-4.22,2.4,3.92,net entertainment ne,257.0,16.82,767,software & computer services,28.91,17.84,17.71,10.42,17.02,23.12,61.23,2012
germany,31.02,,,0.0,mig,,-100.0,768,support services,5.95,-1.98,32.26,10.4,1.92,25.33,542.28,2012
sweden,2.3,,,0.0,munters,2732.0,5.89,769,general industrials,3.47,-713.04,16.43,10.37,2.19,2.73,472.85,2012
germany,-4.0,1.83,8.94,5.4,francotyp-postalia,1093.0,-4.04,770,industrial engineering,5.89,701.73,9.76,10.36,6.26,3.94,165.64,2012
germany,7.63,-74.8,4.07,1.35,maschinenfabrik berthold hermle,911.0,5.93,771,industrial engineering,21.26,16.56,64.36,10.32,3.41,12.39,302.69,2012
uk,-8.51,,,0.0,tullett prebon,2645.0,3.73,772,financial services,-3.96,-127.82,-40.07,10.29,1.02,-8.26,1012.41,2012
sweden,18.19,-18.49,13.87,1.42,indutrade,3939.0,4.26,773,electronic & electrical equipment,9.49,-3.52,92.75,10.25,1.05,4.88,976.92,2012
the netherlands,17.24,-3.2,8.51,2.48,head,2090.0,-1.83,774,leisure goods,2.92,-28.35,10.01,10.2,2.97,1.21,343.21,2012
uk,3.86,,,0.0,cosworth group,381.0,11.08,775,general industrials,9.47,5.61,6.19,10.13,15.5,8.24,65.36,2012
portugal,5.93,-29.44,0.99,0.46,novabase,2194.0,4.03,776,software & computer services,5.8,166.18,12.3,10.11,4.77,-7.65,212.08,2012
germany,10.99,-3.24,89.75,5.6,dyckerhoff,6808.0,-1.12,777,construction & materials,6.85,-25.05,109.78,10.1,0.63,0.24,1603.41,2012
uk,-3.44,,,0.0,northgatearinso,1278.0,-1.39,778,software & computer services,8.85,-45.04,13.38,10.1,6.67,-0.09,151.26,2012
uk,35.14,,,0.0,urenco,1439.0,3.97,779,electricity,38.53,13.96,598.48,10.0,0.64,19.39,1553.34,2012
france,-10.14,-93.48,0.47,0.46,avanquest software,524.0,-1.13,780,software & computer services,-1.63,-257.93,-1.65,9.94,9.8,-7.72,101.35,2012
uk,-12.59,-86.92,0.57,6.14,oxford biomedica,,-100.0,781,pharmaceuticals & biotechnology,-136.17,-26.96,-12.63,9.93,107.0,0.49,9.28,2012
uk,10.05,-71.43,0.01,31.58,phytopharm,14.0,0.0,782,pharmaceuticals & biotechnology,-48478.87,7.69,-11.02,9.82,43215.6,-71.64,0.02,2012
france,55.47,24.06,2.34,3.15,serma,666.0,23.79,783,electronic & electrical equipment,15.4,22.53,11.44,9.81,13.21,17.34,74.3,2012
uk,-44.59,-17.31,10.29,0.9,premier farnell,4464.0,0.11,784,support services,9.22,-15.74,105.01,9.81,0.86,-2.17,1138.59,2012
germany,13.73,57.53,35.64,5.66,tom tailor,6133.0,297.99,785,personal goods,2.42,-24.54,15.24,9.79,1.55,52.97,629.7,2012
germany,-25.02,37.16,3.38,2.06,suss microtec,704.0,12.82,786,technology hardware & equipment,7.95,-30.49,13.03,9.77,5.97,-6.61,163.83,2012
belgium,0.0,,,0.0,prayon,,,787,chemicals,-1.41,-149.01,-11.83,9.7,1.16,22.78,836.22,2012
uk,20.57,47.92,1.58,3.98,gw pharmaceuticals,177.0,16.45,788,pharmaceuticals & biotechnology,4.06,-38.12,1.61,9.66,24.39,11.79,39.61,2012
sweden,41.39,139.63,0.23,0.98,anoto,103.0,9.57,789,technology hardware & equipment,-18.55,-85.24,-4.29,9.59,41.45,3.31,23.15,2012
uk,-35.83,61.66,46.88,3.53,yule catto,2054.0,-19.1,790,chemicals,5.54,14.95,73.67,9.57,0.72,-0.45,1329.71,2012
uk,-24.09,,,0.0,chroma therapeutics,33.0,-36.54,791,pharmaceuticals & biotechnology,-5.74,-95.31,-0.52,9.54,106.33,457.16,8.98,2012
uk,40.45,-47.77,9.02,8.74,xaar,502.0,8.89,792,technology hardware & equipment,18.67,63.15,19.27,9.53,9.23,25.61,103.22,2012
germany,98.23,,,0.0,orion engineered carbons,,,793,mining,6.25,-581.57,87.28,9.5,0.68,156.39,1397.53,2012
finland,93.88,0.37,188.9,12.16,elisa,3863.0,2.41,794,mobile telecommunications,19.21,2.16,298.4,9.5,0.61,1.53,1553.4,2012
uk,130.88,,,0.0,frontier silicon,53.0,3.92,795,leisure goods,-21.76,391.1,-5.54,9.49,37.24,-5.31,25.48,2012
sweden,95.57,40.2,1.16,0.45,betsson,591.0,73.82,796,travel & leisure,26.19,4.55,67.24,9.43,3.67,26.9,256.78,2012
austria,19.89,5.91,121.96,5.18,wienerberger,13060.0,9.81,797,construction & materials,0.5,-82.69,11.81,9.42,0.4,22.98,2355.55,2012
sweden,24.24,,,0.0,carl bennet,4697.0,8.95,798,support services,7.4,9.16,70.19,9.41,0.99,7.48,948.61,2012
sweden,76.99,,,0.0,mellby gard industri,1070.0,-9.01,799,support services,14.91,7.5,46.36,9.41,3.03,7.22,310.96,2012
uk,-1.27,,,0.0,hj heinz,2228.0,3.63,800,food producers,17.91,1.57,177.73,9.33,0.94,6.58,992.56,2012
spain,-1.11,1.27,3.11,2.62,azkoyen,728.0,-3.96,801,industrial engineering,6.64,58.69,7.86,9.29,7.84,-3.46,118.46,2012
france,17.2,-65.16,0.05,1.34,bioalliance pharma,53.0,0.0,802,pharmaceuticals & biotechnology,-283.24,-23.62,-11.41,9.26,229.85,24.71,4.03,2012
spain,9.91,69.54,12.81,6.34,laboratorios farmaceuticos rovi,899.0,7.79,803,pharmaceuticals & biotechnology,10.12,31.61,20.44,9.25,4.58,9.32,201.92,2012
uk,57.41,,,0.0,spi lasers uk,248.0,14.29,804,general industrials,-42.54,86.94,-12.21,9.23,32.18,-18.61,28.69,2012
germany,6.95,32.28,1.71,4.25,jetter,253.0,-1.17,805,industrial engineering,-3.55,-452.84,-1.43,9.23,22.95,-8.7,40.21,2012
france,-9.92,-20.37,9.28,442.0,metabolic explorer,102.0,-15.7,806,chemicals,-397.48,42.51,-8.35,9.21,438.43,147.06,2.1,2012
uk,8.54,-27.22,0.42,0.95,allocate software,305.0,-1.61,807,software & computer services,-6.07,-52.15,-2.69,9.16,20.66,1.15,44.34,2012
belgium,-8.82,,,0.0,etex,,,808,construction & materials,8.56,0.0,196.92,9.13,0.4,0.0,2299.75,2012
italy,167.59,,,0.0,gentium,77.0,,809,pharmaceuticals & biotechnology,2.58,-79.63,0.71,9.12,33.01,16.29,27.63,2012
uk,280.0,57.88,62.31,3.28,melrose industries,14773.0,47.63,810,general industrials,13.0,37.14,246.85,9.09,0.48,46.92,1898.41,2012
sweden,46.36,-5.7,0.59,3.46,aerocrine,107.0,50.7,811,health care equipment & services,-133.7,47.57,-22.9,9.07,52.96,57.23,17.13,2012
the netherlands,13.48,,,0.0,wavin,5941.0,-2.43,812,construction & materials,2.61,-7.12,34.63,9.07,0.68,7.78,1327.06,2012
uk,54.61,-35.01,0.51,1.52,brady,269.0,88.11,813,software & computer services,2.94,-58.98,0.99,9.01,26.79,46.89,33.65,2012
belgium,0.73,-80.29,0.58,13.78,tigenix,67.0,-10.67,814,pharmaceuticals & biotechnology,-482.3,-51.34,-20.22,8.86,211.33,234.64,4.19,2012
sweden,-1.3,28.57,6.29,2.54,concentric,1131.0,-4.07,815,industrial engineering,11.84,-10.64,29.36,8.86,3.57,-6.75,248.08,2012
sweden,52.0,,,0.0,billerudkorsnas,1772.0,9.86,816,forestry & paper,10.99,-2.05,105.69,8.86,0.92,0.93,961.78,2012
denmark,-90.88,,,0.0,dong energy,6735.0,12.89,817,"gas, water & multi-utilities",-7.51,-162.51,-663.49,8.84,0.1,12.81,8829.17,2012
uk,-12.68,-35.19,0.76,2.0,statpro,253.0,-4.89,818,software & computer services,15.87,19.45,6.07,8.84,23.09,0.9,38.27,2012
germany,6.02,44.67,21.61,4.91,gesco,2292.0,20.7,819,financial services,8.14,-6.88,35.86,8.81,2.0,6.02,440.42,2012
austria,18.92,67.79,36.3,7.23,bwt,2726.0,1.38,820,"gas, water & multi-utilities",4.12,5.68,20.71,8.8,1.75,4.89,502.3,2012
uk,41.28,,,0.0,invista textiles,709.0,-0.28,821,chemicals,2.6,-69.1,27.56,8.77,0.83,-7.9,1059.85,2012
